Year,site,r95ptot,rx1day
1970,Gisborne,26.08853741,70.4
1971,Gisborne,33.06560576,64.6
1972,Gisborne,30.42863872,57.3
1973,Gisborne,29.9132797,66.2
1974,Gisborne,27.63258704,65
1975,Gisborne,23.19983612,64.4
1976,Gisborne,17.73468488,58.6
1977,Gisborne,47.56978778,149.6
1978,Gisborne,39.58378262,144
1979,Gisborne,18.78618114,52.6
1980,Gisborne,28.99082569,49.9
1981,Gisborne,22.90253647,76.1
1982,Gisborne,20.05141388,97.6
1983,Gisborne,19.03040043,62.5
1984,Gisborne,21.54744847,83.2
1985,Gisborne,26.41196013,191.5
1986,Gisborne,5.097536665,35.8
1987,Gisborne,18.55298709,66.6
1988,Gisborne,50.49219911,149.5
1989,Gisborne,24.55042313,107.7
1990,Gisborne,24.25898676,95.6
1991,Gisborne,40.70441373,65
1992,Gisborne,27.8842862,102
1993,Gisborne,25.49941246,55.2
1994,Gisborne,34.93693165,64.6
1995,Gisborne,4.974068835,42.2
1996,Gisborne,39.92447648,119.4
1997,Gisborne,37.00107875,108.6
1998,Gisborne,16.38181232,61.8
1999,Gisborne,32.57691468,60
2000,Gisborne,34.61538462,50.2
2001,Gisborne,25.74144487,66.2
2002,Gisborne,18.50746269,72.4
2003,Gisborne,21.83679272,50.4
2004,Gisborne,27.8668768,65.4
2005,Gisborne,36.98198986,145.6
2006,Gisborne,30.93812375,67.6
2007,Gisborne,25.99700897,53.2
2008,Gisborne,30.02427184,60.8
2009,Gisborne,39.92609537,84.8
2010,Gisborne,30.91254097,110.8
2011,Gisborne,43.29641117,75.2
2012,Gisborne,42.49050167,152.8
2013,Gisborne,27.08397259,79.6
2014,Gisborne,28.89423967,88
2015,Gisborne,36.2482695,99
2016,Gisborne,22.76764843,45.4
1960,Gore,0,0
1961,Gore,0,0
1962,Gore,0,0
1963,Gore,0,0
1964,Gore,0,0
1965,Gore,0,0
1966,Gore,0,0
1967,Gore,0,0
1968,Gore,0,0
1969,Gore,0,0
1970,Gore,0,0
1971,Gore,0,0
1972,Gore,19.24486804,34.7
1973,Gore,2.730673317,21.9
1974,Gore,7.439926063,26.3
1975,Gore,19.11462279,39.4
1976,Gore,3.48036716,27.3
1977,Gore,17.53609688,39.3
1978,Gore,28.2674772,90
1979,Gore,19.99238385,42.8
1980,Gore,30.11579347,83.3
1981,Gore,8.34670947,23.3
1982,Gore,24.1126865,47.7
1983,Gore,30.28368794,61.3
1984,Gore,25.81735069,68.4
1985,Gore,9.15042188,23.2
1986,Gore,21.11025102,36.7
1987,Gore,24.28240328,48.4
1988,Gore,41.79255511,40
1989,Gore,25.72769953,62.2
1990,Gore,20.82777036,36
1991,Gore,14.48391223,30.4
1992,Gore,20.56237108,39
1993,Gore,13.70476738,31.5
1994,Gore,19.42380128,37.8
1995,Gore,20.68408839,32.8
1996,Gore,15.2916074,30
1997,Gore,26.28923767,61.4
1998,Gore,20.61102502,52.8
1999,Gore,21.15949119,41.4
2000,Gore,19.17583704,45
2001,Gore,18.81954523,48.6
2002,Gore,14.15012107,30.1
2003,Gore,15.11006904,24.6
2004,Gore,14.96586732,37.8
2005,Gore,26.12556795,43
2006,Gore,26.42786939,37.8
2007,Gore,14.29704017,23.6
2008,Gore,23.26190476,26
